hour_of_day,day_of_week,district_type,lighting,cctv_density,population_density,historical_incidents,road_type,danger_level
18,0,1,0.652,0.499,0.684,8,1,4
21,2,0,0.248,0.677,0.686,17,1,4
15,1,1,0.753,0.238,0.679,33,0,3
10,1,1,0.519,0.514,0.442,28,1,4
7,0,2,0.039,0.129,0.264,47,2,10
9,5,1,0.589,0.563,0.721,32,1,5
19,1,1,0.733,0.45,0.679,24,0,5
17,4,2,0.343,0.369,0.467,13,2,6
6,6,2,0.197,0.054,0.243,49,1,10
6,2,2,0.269,0.03,0.172,53,1,9
20,3,2,0.322,0.007,0.266,29,2,8
15,4,0,0.655,0.502,0.5,13,0,2
12,4,1,0.711,0.257,0.617,7,1,3
1,6,0,0.314,0.738,0.13,3,0,7
8,0,1,0.356,0.486,0.791,12,0,6
15,5,0,0.838,0.515,0.744,4,0,1
17,1,2,0.285,0.322,0.442,36,2,6
2,6,0,0.259,0.836,0.063,8,0,6
15,3,1,0.336,0.457,0.543,24,2,5
12,1,0,0.913,0.908,0.559,14,0,1
12,5,0,0.841,0.942,0.394,4,1,2
13,0,2,0.221,0.411,0.213,28,1,7
14,6,2,0.36,0.416,0.402,36,2,6
16,0,2,0.054,0.354,0.356,37,2,7
15,3,1,0.863,0.483,0.454,24,0,3
18,2,0,0.703,0.808,0.9,13,1,3
15,1,2,0.246,0.043,0.085,70,2,9
18,1,0,0.826,0.827,0.642,3,0,3
7,0,2,0.17,0.137,0.401,52,3,10
22,4,0,0.225,0.5,0.426,13,0,5
19,5,2,0.36,0.0,0.474,39,3,9
13,0,2,0.187,0.077,0.227,41,1,7
17,3,1,0.543,0.575,0.669,31,2,2
5,2,1,0.291,0.233,0.4,14,0,7
10,1,2,0.344,0.251,0.262,21,2,7
15,2,2,0.379,0.196,0.474,35,3,7
5,0,2,0.104,0.087,0.129,50,1,10
9,2,1,0.614,0.584,0.701,18,2,4
20,1,2,0.376,0.157,0.299,28,3,8
14,5,2,0.215,0.204,0.34,49,3,9
10,0,1,0.678,0.531,0.42,1,2,4
15,6,1,0.715,0.558,0.38,20,0,3
20,1,2,0.371,0.287,0.173,46,2,9
16,1,0,0.833,0.902,0.758,4,0,1
7,6,1,0.71,0.494,0.871,42,1,5
21,4,1,0.226,0.478,0.408,16,2,5
7,1,2,0.339,0.387,0.672,10,1,7
17,5,2,0.304,0.001,0.629,35,1,7
14,5,1,0.722,0.446,0.294,10,2,3
16,0,1,0.729,0.348,0.553,26,2,4
1,1,2,0.158,0.087,0.0,63,1,10
7,3,0,0.856,0.785,0.745,0,1,3
2,1,0,0.343,0.533,0.078,2,0,6
16,5,1,0.667,0.529,0.656,11,2,3
18,2,0,0.843,0.66,0.853,14,0,2
12,1,1,0.611,0.211,0.554,10,1,5
21,4,2,0.219,0.14,0.111,32,2,9
9,3,1,0.613,0.321,0.664,22,2,4
7,3,2,0.37,0.261,0.615,38,1,9
17,4,0,0.82,0.776,0.738,12,1,1
6,1,0,0.559,0.942,0.855,5,1,3
16,4,2,0.151,0.034,0.339,26,3,8
7,1,1,0.565,0.033,0.591,45,0,5
18,2,1,0.622,0.55,0.922,35,2,4
15,6,1,0.556,0.176,0.347,22,2,4
17,3,1,0.543,0.575,0.669,31,2,2
12,4,2,0.462,0.416,0.339,31,3,5
2,6,0,0.408,0.725,0.18,15,0,5
14,1,0,0.841,0.74,0.634,26,1,1
20,6,1,0.557,0.372,0.427,14,1,4
5,2,1,0.261,0.074,0.073,23,1,8
17,0,2,0.587,0.0,0.524,32,1,6
20,5,2,0.0,0.331,0.393,31,2,8
14,6,1,0.558,0.197,0.759,5,0,3
12,3,2,0.462,0.104,0.073,16,1,6
13,0,0,1.0,0.538,0.585,2,0,1
17,6,0,0.82,0.581,0.877,7,0,1
16,0,2,0.419,0.132,0.535,35,2,6
16,2,1,0.737,0.379,0.312,0,1,4
20,3,1,0.725,0.557,0.364,18,0,4
17,5,2,0.316,0.414,0.565,30,2,6
7,3,0,0.809,0.749,0.721,10,0,3
13,1,0,0.783,0.823,0.663,22,1,1
7,6,1,0.636,0.389,0.639,1,0,4
14,1,1,0.477,0.218,0.559,15,2,4
17,2,1,0.75,0.314,0.735,35,0,2
13,1,2,0.027,0.319,0.251,41,3,8
0,2,1,0.254,0.291,0.203,18,0,9
13,0,2,0.118,0.0,0.166,44,2,10
18,1,0,0.819,0.674,0.87,12,0,3
14,1,2,0.253,0.402,0.305,53,1,9
5,6,2,0.0,0.054,0.118,2,2,10
6,4,0,0.766,0.669,0.591,14,0,3
7,1,2,0.399,0.222,0.344,26,3,9
4,5,0,0.21,0.71,0.11,19,0,7
14,2,2,0.209,0.129,0.147,22,2,8
5,6,2,0.028,0.155,0.002,42,3,10
20,6,2,0.212,0.337,0.255,41,1,9
8,3,1,0.696,0.597,0.769,11,0,4
8,3,1,0.611,0.236,0.733,36,2,5
18,1,2,0.217,0.293,0.454,40,3,8
16,6,1,0.574,0.526,0.524,18,2,4
12,2,1,0.606,0.431,0.497,11,0,3
5,0,2,0.055,0.328,0.119,49,2,9
13,2,2,0.339,0.359,0.273,20,1,7
6,2,0,0.707,0.586,0.584,19,0,3
16,6,2,0.302,0.008,0.411,29,1,7
21,5,2,0.014,0.386,0.236,52,3,7
10,0,2,0.031,0.386,0.314,26,3,6
21,1,2,0.132,0.391,0.484,35,2,7
16,1,1,0.501,0.487,0.627,13,0,2
6,4,2,0.105,0.262,0.085,56,1,10
12,1,0,0.84,0.695,0.565,18,1,1
17,5,1,0.496,0.415,0.609,20,1,2
12,2,1,0.389,0.515,0.622,26,1,4
13,5,1,0.59,0.433,0.368,12,0,3
6,4,2,0.245,0.11,0.369,25,3,9
5,0,2,0.092,0.109,0.297,27,1,10
12,3,1,0.358,0.355,0.509,15,2,5
18,6,0,0.97,0.58,0.974,30,0,2
5,5,2,0.064,0.21,0.027,32,2,10
11,0,0,0.918,0.448,0.689,9,0,1
16,6,1,0.618,0.044,0.443,29,1,5
15,0,0,0.975,0.785,0.713,0,0,1
20,1,2,0.063,0.0,0.324,23,3,8
11,2,1,0.519,0.414,0.512,32,2,4
8,1,1,0.675,0.532,0.669,29,2,4
14,1,2,0.191,0.33,0.102,37,3,6
15,3,0,0.707,0.927,0.528,12,1,2
13,4,2,0.257,0.0,0.219,52,2,9
8,3,1,0.764,0.162,0.563,5,2,5
8,4,1,0.57,0.218,0.734,20,1,6
5,1,0,0.164,0.548,0.367,0,0,5
6,2,2,0.293,0.199,0.469,40,1,8
13,4,2,0.436,0.0,0.361,44,1,6
5,0,2,0.102,0.264,0.066,41,3,10
12,4,0,1.0,0.733,0.743,10,0,1
18,1,0,0.786,0.93,0.901,7,0,3
11,6,1,0.591,0.569,0.683,15,2,2
13,0,0,0.931,0.46,0.475,0,0,2
11,0,0,0.918,0.448,0.689,9,0,1
12,1,1,0.454,0.539,0.386,23,1,3
12,5,0,0.748,0.822,0.624,0,0,1
9,4,2,0.413,0.294,0.527,35,3,8
6,3,0,0.84,0.882,0.597,0,1,3
3,5,0,0.313,0.879,0.167,0,0,6
14,4,0,0.967,0.734,0.699,14,0,1
15,6,2,0.241,0.189,0.332,39,1,7
7,0,1,0.66,0.082,0.56,23,0,5
18,5,1,0.537,0.484,0.714,15,1,4
11,6,0,0.561,0.582,0.431,1,0,2
5,5,0,0.246,0.651,0.161,0,0,6
16,6,2,0.493,0.0,0.218,40,3,6
21,1,0,0.235,0.818,0.58,0,0,3
14,3,2,0.317,0.3,0.408,21,2,7
22,5,0,0.282,0.546,0.126,10,0,6
12,3,0,0.672,0.805,0.498,8,0,2
5,2,0,0.202,0.711,0.236,7,0,5
9,3,1,0.628,0.464,0.865,19,2,4
23,1,0,0.231,0.841,0.267,12,0,6
12,1,1,0.655,0.204,0.561,0,0,4
6,5,1,0.575,0.368,0.541,25,1,4
11,1,0,0.9,0.786,0.644,17,0,1
12,4,1,0.574,0.6,0.524,6,2,3
11,0,2,0.328,0.263,0.223,41,1,9
14,6,0,0.889,0.564,0.528,9,1,1
8,3,1,0.71,0.275,0.697,15,0,5
16,4,0,0.846,0.757,0.607,17,1,1
18,0,1,0.502,0.507,0.637,0,2,5
17,5,1,0.489,0.622,0.601,7,0,2
6,2,0,0.796,0.929,0.545,0,0,2
18,4,1,0.628,0.563,0.523,29,0,5
15,1,2,0.343,0.238,0.121,52,3,8
12,6,0,0.928,0.992,0.662,12,0,1
16,5,1,0.581,0.285,0.501,21,1,4
16,0,2,0.271,0.395,0.51,23,3,6
15,4,0,0.626,0.698,0.608,10,0,1
10,4,1,0.639,0.269,0.563,17,0,4
15,2,0,0.844,0.79,0.599,7,0,1
2,4,1,0.107,0.433,0.071,35,0,8
15,1,0,0.92,0.738,0.639,18,0,1
1,1,2,0.0,0.15,0.046,47,3,10
17,0,0,0.722,0.352,0.704,0,0,1
4,6,2,0.025,0.0,0.112,45,2,10
13,0,2,0.345,0.299,0.122,46,2,7
15,5,0,0.838,0.515,0.744,4,0,1
4,6,1,0.336,0.506,0.115,24,0,8
10,0,1,0.606,0.283,0.544,34,1,4
7,4,0,0.756,0.502,0.715,10,1,2
16,0,1,0.573,0.486,0.407,14,0,3
14,1,1,0.604,0.345,0.534,41,1,3
10,5,0,0.705,0.649,0.684,0,0,1
8,5,2,0.26,0.0,0.464,32,3,9
18,0,2,0.247,0.0,0.316,51,2,10
15,6,2,0.389,0.396,0.38,53,1,6
13,4,2,0.26,0.037,0.106,50,2,9
7,2,1,0.698,0.406,0.778,2,1,4
10,3,1,0.627,0.371,0.323,4,1,3
4,2,2,0.208,0.294,0.148,26,3,10
16,1,0,0.687,0.747,0.531,17,0,2
23,4,1,0.164,0.417,0.184,19,1,7
12,6,0,0.928,0.992,0.662,12,0,1
19,2,1,0.548,0.473,0.629,29,1,4
10,6,2,0.448,0.0,0.359,56,3,6
18,0,0,0.793,0.691,0.755,2,1,2
15,6,2,0.152,0.412,0.347,38,1,7
7,2,0,0.779,0.906,0.602,0,0,3
2,5,2,0.116,0.101,0.166,39,2,10
12,0,1,0.658,0.471,0.501,12,0,4
7,2,1,0.649,0.451,0.616,6,0,4
10,5,2,0.196,0.083,0.244,33,1,7
4,5,1,0.156,0.218,0.054,17,1,9
18,6,0,0.919,0.787,0.904,16,0,2
23,0,1,0.204,0.483,0.185,35,0,7
21,5,2,0.248,0.1,0.245,32,3,9
1,6,0,0.225,0.636,0.145,15,0,7
6,1,1,0.598,0.307,0.393,16,0,5
17,4,0,0.802,0.94,0.776,0,0,1
10,5,1,0.584,0.467,0.26,14,0,3
12,0,1,0.692,0.229,0.54,20,2,5
9,0,1,0.413,0.469,0.66,11,2,4
13,4,1,0.705,0.373,0.755,21,2,2
0,1,2,0.071,0.362,0.0,41,2,10
15,6,2,0.276,0.464,0.509,7,3,6
18,3,2,0.086,0.179,0.386,50,1,10
3,0,0,0.035,0.693,0.096,0,1,7
18,1,2,0.32,0.286,0.485,40,1,8
4,2,1,0.152,0.016,0.037,34,1,10
15,6,2,0.1,0.376,0.387,49,3,8
13,4,0,0.764,0.373,0.604,9,0,1
15,2,1,0.446,0.383,0.656,18,0,2
11,2,2,0.251,0.0,0.312,38,1,8
12,3,0,0.757,0.609,0.647,3,1,1
12,4,1,0.677,0.316,0.62,11,2,2
20,1,1,0.428,0.325,0.328,16,2,4
21,3,1,0.149,0.512,0.538,23,2,5
8,3,1,0.642,0.589,0.814,20,2,5
17,4,0,0.813,0.824,0.794,2,0,1
10,5,2,0.3,0.281,0.328,25,1,8
17,1,1,0.465,0.378,0.723,5,1,2
7,4,1,0.708,0.238,0.607,37,2,5
11,6,2,0.362,0.335,0.356,33,2,6
12,5,0,0.856,0.775,0.565,0,0,1
11,4,0,0.762,0.895,0.564,17,1,2
10,3,1,0.632,0.227,0.571,8,1,5
10,3,1,0.494,0.43,0.344,25,1,4
6,0,1,0.669,0.083,0.396,23,1,5
17,1,2,0.261,0.0,0.538,42,1,7
8,4,2,0.352,0.084,0.471,24,2,8
23,1,2,0.117,0.028,0.007,36,2,10
5,0,0,0.256,0.736,0.124,8,0,5
22,3,0,0.184,0.565,0.077,7,0,5
4,5,2,0.078,0.317,0.0,42,1,10
7,4,1,0.699,0.575,0.719,5,2,5
14,0,2,0.458,0.235,0.379,17,1,6
12,2,1,0.684,0.329,0.541,27,2,3
14,0,0,0.704,0.629,0.579,10,0,1
1,2,2,0.0,0.297,0.246,47,3,10
3,2,0,0.177,0.712,0.241,29,0,6
3,1,2,0.312,0.0,0.111,32,1,10
15,4,2,0.282,0.193,0.188,57,3,9
20,1,1,0.67,0.319,0.515,17,2,4
20,5,1,0.497,0.439,0.549,24,1,4
10,0,0,0.891,0.67,0.656,2,1,1
16,5,0,0.772,0.73,0.709,23,0,1
16,3,0,0.871,0.697,0.568,0,0,2
13,1,0,0.836,0.685,0.455,9,0,1
15,3,1,0.652,0.502,0.649,32,0,2
14,5,2,0.288,0.052,0.31,27,2,8
5,0,2,0.0,0.477,0.0,20,1,9
14,0,2,0.396,0.396,0.271,43,3,6
16,2,1,0.59,0.338,0.589,20,1,3
23,1,1,0.169,0.392,0.221,19,0,8
6,1,0,0.797,0.849,0.653,11,0,2
18,0,0,0.793,0.691,0.755,2,1,2
20,4,2,0.199,0.037,0.413,41,3,8
15,3,2,0.329,0.316,0.357,41,2,6
12,3,2,0.422,0.0,0.384,26,1,6
14,0,1,0.685,0.493,0.37,8,0,4
17,2,2,0.275,0.0,0.547,44,3,8
13,2,1,0.635,0.578,0.485,25,2,4
3,3,2,0.056,0.111,0.0,40,3,10
16,6,1,0.636,0.277,0.635,27,1,3
17,3,2,0.286,0.5,0.486,59,3,6
10,6,0,0.842,0.714,0.668,28,1,1
10,0,0,0.687,0.733,0.564,9,0,1
1,1,2,0.1,0.291,0.0,38,1,10
16,3,2,0.142,0.197,0.154,40,1,7
17,1,1,0.53,0.27,0.535,22,1,5
9,2,1,0.426,0.299,0.823,38,2,5
6,2,1,0.75,0.512,0.565,26,0,5
11,2,2,0.367,0.354,0.106,31,3,6
23,4,0,0.142,0.627,0.357,11,0,4
18,0,0,0.944,0.574,0.831,11,1,3
6,1,2,0.172,0.534,0.156,35,2,7
15,3,2,0.198,0.326,0.297,49,2,6
9,0,1,0.598,0.348,0.598,5,2,4
4,6,2,0.064,0.06,0.063,51,2,10
17,6,0,0.693,0.72,0.766,13,1,1
7,1,2,0.077,0.142,0.543,43,1,10
12,4,2,0.077,0.0,0.124,55,1,10
21,2,1,0.298,0.265,0.401,18,1,7
15,3,0,0.939,0.65,0.65,0,1,1
3,1,2,0.109,0.003,0.0,46,1,10
19,1,1,0.553,0.375,0.775,23,1,4
7,0,1,0.586,0.479,0.586,29,0,4
16,3,0,0.871,0.697,0.568,0,0,2
2,4,2,0.184,0.173,0.052,24,1,10
7,4,2,0.275,0.231,0.422,39,1,8
4,1,2,0.034,0.132,0.0,32,2,10
1,0,1,0.141,0.296,0.294,7,2,9
15,0,0,0.763,0.58,0.68,0,1,1
17,4,2,0.24,0.0,0.276,54,2,9
14,3,0,0.722,0.623,0.489,15,0,1
12,3,1,0.501,0.068,0.625,16,1,3
5,4,1,0.143,0.264,0.133,38,2,9
15,4,0,0.68,0.361,0.617,0,1,1
21,0,2,0.136,0.0,0.187,29,1,9
14,5,2,0.343,0.346,0.258,31,3,6
14,0,0,0.962,0.755,0.578,21,0,2
12,4,2,0.263,0.103,0.216,52,2,9
15,1,1,0.588,0.295,0.564,18,2,4
11,6,0,0.787,0.662,0.713,12,0,1
21,4,0,0.149,0.784,0.578,16,0,4
12,4,2,0.257,0.544,0.281,44,3,6
11,2,0,0.618,0.599,0.519,3,1,1
17,0,0,0.88,0.853,0.523,27,0,1
3,4,1,0.17,0.419,0.013,6,0,8
19,4,2,0.32,0.307,0.447,50,3,8
22,0,2,0.264,0.385,0.265,48,3,9
16,5,0,0.616,0.621,0.67,3,1,1
5,1,2,0.312,0.406,0.125,26,1,10
22,1,2,0.05,0.13,0.177,31,3,10
20,6,1,0.688,0.5,0.529,18,0,4
16,3,1,0.782,0.268,0.522,19,0,5
15,3,0,0.939,0.65,0.65,0,1,1
9,1,2,0.359,0.138,0.421,39,1,9
22,2,0,0.312,0.619,0.249,0,0,5
12,3,1,0.358,0.355,0.509,15,2,5
15,2,1,0.488,0.534,0.626,31,0,2
5,3,0,0.185,0.732,0.185,14,0,5
5,6,0,0.21,0.569,0.058,8,0,6
5,6,0,0.383,0.566,0.164,5,1,5
11,4,2,0.243,0.029,0.181,35,1,9
4,5,1,0.171,0.683,0.034,26,1,8
9,3,1,0.52,0.448,0.78,15,2,4
13,4,2,0.29,0.092,0.274,30,1,7
15,6,2,0.317,0.194,0.229,27,3,7
14,0,0,0.756,0.529,0.691,25,0,1
3,6,2,0.056,0.39,0.159,43,1,10
5,6,2,0.031,0.105,0.078,22,1,10
11,2,2,0.321,0.267,0.316,39,3,8
14,1,2,0.344,0.513,0.383,31,3,7
9,6,2,0.225,0.347,0.597,57,1,8
10,3,2,0.271,0.212,0.276,29,1,7
13,4,2,0.129,0.138,0.326,19,3,8
2,2,1,0.255,0.526,0.0,22,1,8
12,4,0,0.995,1.0,0.607,11,0,1
11,0,1,0.725,0.075,0.617,10,0,3
19,4,1,0.573,0.452,0.861,19,0,4
7,5,2,0.316,0.472,0.61,40,1,8
7,3,1,0.674,0.391,0.617,13,1,4
14,5,0,0.874,0.637,0.697,5,1,1
0,1,1,0.004,0.486,0.04,31,0,8
17,0,0,0.88,0.853,0.523,27,0,1
16,6,1,0.475,0.306,0.537,35,0,3
20,4,1,0.649,0.384,0.555,22,1,4
1,3,1,0.05,0.659,0.104,19,2,9
5,4,2,0.064,0.157,0.0,42,2,10
1,5,0,0.2,0.474,0.177,13,0,7
10,6,2,0.253,0.0,0.096,44,2,9
10,0,1,0.676,0.639,0.418,3,2,3
16,5,0,0.845,0.579,0.472,17,1,2
8,0,1,0.563,0.562,0.646,31,0,5
19,2,2,0.102,0.204,0.322,41,1,10
16,1,0,0.681,0.902,0.497,14,1,2
15,4,2,0.495,0.143,0.334,36,2,7
5,1,2,0.008,0.176,0.015,33,1,10
4,4,1,0.03,0.603,0.392,15,2,7
10,2,0,0.854,0.677,0.709,7,1,1
15,2,2,0.008,0.219,0.306,43,2,10
18,6,2,0.417,0.289,0.56,32,3,7
7,0,2,0.338,0.23,0.735,26,3,8
7,2,1,0.576,0.279,0.601,9,2,5
5,5,1,0.198,0.213,0.191,15,2,9
1,0,0,0.175,0.983,0.196,12,0,6
5,1,0,0.159,0.501,0.078,12,0,5
6,5,2,0.164,0.127,0.163,45,2,10
21,6,2,0.008,0.0,0.321,38,2,9
0,5,1,0.267,0.32,0.0,6,1,9
18,2,0,0.776,0.623,0.892,12,0,2
9,3,2,0.393,0.321,0.47,29,1,8
11,6,0,0.561,0.582,0.431,1,0,2
18,1,0,0.833,0.754,0.932,6,0,3
21,3,1,0.048,0.193,0.549,40,0,6
12,0,2,0.282,0.076,0.31,29,2,7
12,0,1,0.509,0.401,0.501,24,0,3
13,1,0,0.836,0.685,0.455,9,0,1
10,0,0,0.795,0.566,0.486,20,0,1
12,6,2,0.47,0.125,0.365,26,1,6
17,2,0,0.91,0.886,1.0,9,1,1
17,5,1,0.589,0.331,0.655,16,2,2
6,6,0,0.818,0.452,0.665,7,0,3
11,2,1,0.64,0.319,0.557,23,0,3
4,5,1,0.149,0.686,0.043,32,2,8
5,2,0,0.241,0.692,0.05,19,0,6
1,0,0,0.271,0.873,0.241,0,1,7
20,5,2,0.426,0.0,0.357,47,2,7
23,1,1,0.141,0.53,0.221,25,0,7
3,3,2,0.0,0.0,0.032,39,1,10
10,5,0,0.668,0.749,0.624,0,0,1
15,5,0,0.811,0.901,0.483,0,0,2
19,5,2,0.322,0.081,0.596,45,1,9
5,6,2,0.141,0.479,0.0,42,1,10
10,1,0,0.886,0.738,0.485,12,0,2
11,4,0,0.7,0.687,0.44,2,0,2
14,6,1,0.532,0.294,0.499,24,0,4
10,3,2,0.36,0.364,0.166,39,3,6
19,2,2,0.169,0.095,0.602,34,2,8
3,6,1,0.044,0.696,0.045,26,1,8
8,3,1,0.675,0.387,0.745,32,0,4
10,1,1,0.567,0.023,0.287,9,0,4
12,0,0,0.864,0.803,0.75,9,0,1
17,5,0,0.646,0.758,0.81,8,0,1
12,1,1,0.504,0.59,0.637,10,1,3
10,0,0,0.891,0.67,0.656,2,1,1
9,5,1,0.537,0.157,0.911,29,2,5
7,5,2,0.1,0.0,0.474,22,2,10
14,0,2,0.323,0.241,0.277,32,3,7
22,6,0,0.016,0.872,0.22,9,0,6
4,4,2,0.154,0.28,0.207,18,2,10
16,2,2,0.325,0.225,0.2,17,3,7
18,4,0,0.698,0.835,0.653,7,0,2
19,2,1,0.802,0.358,0.702,10,1,4
7,2,1,0.523,0.546,0.579,23,0,5
17,2,1,0.52,0.318,0.695,33,2,2
9,5,1,0.686,0.2,0.618,24,1,6
12,1,1,0.566,0.559,0.388,13,1,4
17,3,0,0.753,0.778,0.778,12,0,1
14,4,1,0.523,0.413,0.421,9,0,4
6,2,1,0.492,0.341,0.593,22,2,5
15,5,0,0.809,0.734,0.852,28,0,1
11,2,1,0.468,0.581,0.723,30,0,2
10,5,0,1.0,0.698,0.62,6,0,1
6,4,0,0.893,0.48,0.763,19,1,2
8,5,1,0.585,0.775,0.736,7,2,4
6,6,0,0.824,0.677,0.643,10,0,3
13,1,1,0.376,0.363,0.468,13,0,4
20,2,2,0.418,0.413,0.191,42,2,6
11,0,0,0.797,0.823,0.513,2,1,2
9,3,1,0.484,0.359,0.812,11,1,4
11,1,2,0.185,0.284,0.228,28,2,7
9,2,0,0.897,0.646,0.751,19,0,3
12,1,0,0.628,0.781,0.53,17,0,1
6,1,0,0.692,0.813,0.45,15,0,2
19,5,1,0.555,0.411,0.57,37,0,5
12,3,2,0.178,0.346,0.31,37,3,7
12,1,0,0.804,0.653,0.705,3,0,1
22,4,0,0.189,0.819,0.222,2,0,5
23,4,0,0.451,0.634,0.258,6,1,5
2,3,0,0.192,0.651,0.28,15,1,7
14,2,2,0.067,0.089,0.083,38,3,9
2,4,1,0.0,0.338,0.102,16,2,8
15,2,2,0.247,0.205,0.113,44,2,8
20,0,0,0.877,0.736,0.801,13,1,3
4,6,2,0.0,0.067,0.291,47,3,10
20,2,0,0.822,0.831,0.622,16,1,3
12,6,2,0.23,0.301,0.437,47,1,6
