hour_of_day,day_of_week,district_type,lighting,cctv_density,population_density,historical_incidents,road_type,danger_level
17,2,0,1.0,0.961,0.734,18,0,1
1,0,2,0.065,0.118,0.0,42,2,9
18,1,4,0.409,0.028,0.467,24,0,4
21,2,2,0.171,0.0,0.323,43,3,8
10,3,2,0.683,0.229,0.195,25,0,6
16,2,4,0.57,0.069,0.245,0,2,3
11,3,0,0.801,0.51,0.529,16,1,2
17,0,2,0.616,0.088,0.432,17,2,5
20,2,2,0.566,0.064,0.332,28,1,7
19,2,2,0.66,0.078,0.37,27,0,7
2,5,4,0.0,0.274,0.0,4,0,8
10,5,4,0.55,0.0,0.236,0,1,3
14,2,1,0.805,0.28,0.38,4,3,2
17,0,0,1.0,0.759,0.992,29,1,2
1,5,0,0.703,0.785,0.201,7,3,5
17,0,0,0.955,0.565,0.791,4,1,1
4,4,2,0.1,0.0,0.0,36,3,10
23,1,2,0.0,0.0,0.155,25,3,9
5,4,3,0.243,0.466,0.439,19,3,5
20,3,1,0.701,0.27,0.319,10,2,5
17,4,0,0.791,0.86,0.847,15,3,2
17,3,0,0.898,0.772,0.794,6,2,1
8,2,4,0.431,0.0,0.269,0,0,4
11,5,2,0.568,0.128,0.124,29,1,6
17,4,1,0.979,0.176,0.608,9,0,2
9,4,1,0.816,0.452,0.507,12,1,3
15,1,0,0.969,0.708,0.697,4,3,1
22,2,4,0.0,0.22,0.247,19,0,7
0,2,1,0.372,0.24,0.34,19,0,6
19,5,1,0.838,0.281,0.574,14,2,4
13,1,1,0.707,0.514,0.378,19,2,3
5,1,4,0.0,0.23,0.0,1,1,7
17,3,0,0.898,0.772,0.794,6,2,1
21,2,2,0.298,0.262,0.25,36,3,8
0,3,2,0.035,0.0,0.0,24,2,9
1,6,2,0.224,0.0,0.0,13,1,9
3,1,2,0.0,0.22,0.0,28,3,9
4,6,0,0.32,0.902,0.346,16,0,5
19,6,2,0.475,0.115,0.499,16,0,6
9,5,4,0.723,0.175,0.464,8,0,3
17,2,0,1.0,0.961,0.734,18,0,1
1,6,2,0.039,0.111,0.0,34,0,10
19,5,1,0.943,0.18,0.947,17,3,3
14,5,0,1.0,0.387,0.661,3,1,1
7,0,0,0.987,0.67,0.726,0,2,2
3,6,2,0.217,0.0,0.0,29,3,10
3,4,2,0.06,0.321,0.0,30,0,9
11,1,3,0.704,0.543,0.729,28,3,4
0,1,2,0.096,0.035,0.053,22,3,9
4,3,2,0.0,0.315,0.0,24,3,10
5,6,2,0.133,0.232,0.0,24,1,8
0,3,3,0.056,0.427,0.484,23,0,6
17,5,0,0.869,0.77,0.971,11,2,2
13,4,0,0.946,0.706,0.565,8,2,1
1,5,1,0.343,0.227,0.195,9,3,7
11,5,2,0.67,0.0,0.031,14,0,6
18,6,4,0.549,0.151,0.633,9,0,3
13,0,4,0.717,0.185,0.097,0,2,3
14,2,0,1.0,0.69,0.416,21,2,2
0,4,0,0.409,0.603,0.352,25,3,6
18,3,3,0.68,0.305,0.985,10,1,5
3,6,2,0.217,0.0,0.0,29,3,10
21,3,1,0.206,0.289,0.56,1,2,5
14,5,0,1.0,0.387,0.661,3,1,1
4,3,3,0.19,0.45,0.507,14,2,7
19,1,2,0.6,0.275,0.498,37,2,7
3,5,2,0.055,0.125,0.0,44,0,10
7,0,1,0.8,0.321,0.785,0,2,3
0,0,3,0.062,0.339,0.605,16,2,7
1,5,4,0.0,0.0,0.0,0,2,8
6,3,2,0.765,0.05,0.21,24,1,6
3,0,1,0.348,0.351,0.236,10,3,5
17,5,3,0.605,0.564,0.972,4,0,3
16,2,0,0.927,0.817,0.623,3,0,1
15,0,0,1.0,0.665,0.69,15,3,2
4,3,2,0.0,0.315,0.0,24,3,10
11,4,0,1.0,0.714,0.496,18,1,2
2,6,2,0.226,0.465,0.0,42,3,10
2,6,2,0.0,0.238,0.0,33,3,10
12,5,2,0.539,0.0,0.308,20,2,6
11,3,0,1.0,0.773,0.398,17,1,2
12,4,2,0.595,0.134,0.126,34,3,7
3,4,4,0.0,0.0,0.124,13,3,8
17,1,3,0.683,0.777,0.939,20,0,4
0,1,2,0.096,0.035,0.053,22,3,9
15,3,0,0.96,0.696,0.388,22,1,2
12,2,1,0.9,0.159,0.388,1,0,3
20,6,2,0.573,0.0,0.0,34,3,9
12,2,2,0.525,0.297,0.375,14,3,5
12,6,0,0.929,0.653,0.52,33,0,3
6,3,1,0.851,0.0,0.553,19,2,4
17,3,1,0.695,0.324,0.528,15,2,3
23,6,4,0.099,0.062,0.201,1,1,7
7,2,2,0.636,0.093,0.568,21,0,6
19,3,0,0.709,0.615,0.834,19,2,3
6,1,2,0.654,0.257,0.093,16,2,7
18,6,1,0.63,0.305,0.754,11,0,4
12,5,1,0.816,0.286,0.407,0,1,3
14,6,0,0.982,1.0,0.645,22,1,1
13,4,1,0.863,0.247,0.262,6,2,2
17,5,0,0.951,0.811,0.984,11,1,1
2,5,1,0.306,0.546,0.11,34,0,7
3,2,2,0.239,0.337,0.0,11,1,8
3,5,2,0.241,0.566,0.0,16,1,9
19,5,2,0.62,0.383,0.611,14,0,5
7,3,2,0.561,0.23,0.464,24,2,6
15,3,0,0.834,0.85,0.609,7,3,1
22,5,2,0.14,0.0,0.132,16,2,9
5,5,4,0.0,0.149,0.054,1,1,7
3,6,2,0.217,0.0,0.0,29,3,10
9,5,0,0.85,0.828,0.627,3,2,2
9,3,3,0.759,0.279,0.687,27,1,5
8,4,4,0.345,0.379,0.38,8,3,4
9,2,2,0.696,0.248,0.184,29,3,7
0,6,2,0.164,0.061,0.0,18,3,10
2,1,1,0.328,0.434,0.063,5,2,6
4,6,2,0.033,0.0,0.0,23,3,9
19,2,0,0.827,0.823,0.74,7,2,1
22,3,2,0.124,0.337,0.106,26,2,8
21,3,2,0.251,0.0,0.138,20,1,8
23,1,2,0.011,0.081,0.155,26,3,9
5,2,4,0.0,0.0,0.189,3,1,8
18,5,3,0.675,0.216,0.929,16,1,5
0,3,2,0.035,0.0,0.0,24,2,9
2,6,2,0.0,0.238,0.0,33,3,10
10,5,1,0.551,0.4,0.552,16,0,3
0,4,2,0.102,0.206,0.0,18,3,9
18,6,0,0.843,1.0,0.887,16,0,2
6,3,0,1.0,0.966,0.648,1,1,2
17,4,1,0.832,0.591,0.739,0,1,2
18,2,1,0.811,0.61,0.793,12,0,3
2,4,2,0.103,0.103,0.0,49,2,9
16,3,0,0.912,0.767,0.532,0,3,1
7,1,2,0.518,0.129,0.35,30,2,7
9,0,0,0.818,0.627,0.652,7,2,2
7,4,1,1.0,0.023,0.698,12,0,4
16,3,4,0.334,0.013,0.159,9,2,5
2,5,2,0.25,0.32,0.0,29,3,10
22,0,3,0.208,0.391,0.758,18,2,6
19,4,1,0.883,0.143,0.632,8,2,2
7,1,0,0.882,0.383,0.843,0,2,2
19,1,2,0.635,0.197,0.397,31,3,7
22,6,1,0.402,0.272,0.586,6,0,5
22,6,1,0.491,0.193,0.526,11,2,5
23,6,2,0.166,0.0,0.115,21,2,9
10,2,0,0.821,0.67,0.672,11,3,2
12,6,1,0.69,0.258,0.675,6,2,2
14,0,1,1.0,0.202,0.55,8,2,3
23,2,2,0.002,0.086,0.113,37,0,9
2,4,2,0.0,0.0,0.039,21,2,9
6,2,2,0.667,0.233,0.296,26,1,6
19,2,0,0.883,1.0,0.753,7,0,2
13,4,0,0.946,0.706,0.565,8,2,1
11,0,1,0.789,0.009,0.386,14,1,3
1,2,0,0.491,0.679,0.195,5,1,5
22,2,4,0.0,0.179,0.186,0,3,8
22,5,4,0.0,0.098,0.243,14,0,7
17,2,0,1.0,0.961,0.734,18,0,1
1,5,1,0.265,0.372,0.166,12,0,7
13,0,0,0.841,0.706,0.8,0,0,1
12,3,0,0.931,0.695,0.573,12,3,2
17,3,0,1.0,0.794,0.82,15,3,1
17,5,0,0.951,0.811,0.984,11,1,1
1,3,1,0.216,0.246,0.239,4,1,6
17,0,0,0.955,0.565,0.791,4,1,1
9,2,2,0.461,0.315,0.257,31,3,8
8,3,0,0.797,0.528,0.669,5,3,2
1,3,4,0.049,0.0,0.152,0,2,8
21,6,1,0.302,0.623,0.43,10,2,5
4,0,2,0.285,0.14,0.0,27,3,9
2,3,2,0.113,0.415,0.0,25,3,9
7,6,1,1.0,0.469,0.518,0,3,3
10,4,0,0.923,0.653,0.634,15,3,2
17,5,2,0.628,0.385,0.236,25,2,5
1,6,2,0.039,0.111,0.0,34,0,10
0,4,4,0.068,0.123,0.057,11,1,8
21,5,4,0.0,0.065,0.396,0,0,6
9,2,2,0.382,0.0,0.462,31,1,6
0,1,2,0.096,0.035,0.053,22,3,9
6,2,1,0.97,0.223,0.357,6,0,4
19,5,1,0.985,0.106,0.773,3,2,3
22,6,1,0.302,0.193,0.6,0,0,5
21,3,3,0.142,0.506,0.756,25,2,6
4,4,2,0.1,0.0,0.0,36,3,10
14,6,1,0.844,0.195,0.455,4,2,2
1,2,2,0.159,0.0,0.0,36,1,9
18,2,2,0.571,0.179,0.26,11,0,5
7,4,1,0.595,0.269,0.549,7,3,4
21,3,1,0.411,0.314,0.595,8,1,4
0,6,2,0.164,0.061,0.0,18,3,10
17,0,0,0.96,0.873,0.77,10,3,1
3,6,2,0.217,0.0,0.0,29,3,10
4,3,2,0.0,0.315,0.0,24,3,10
10,1,1,0.833,0.558,0.416,24,3,2
5,3,0,0.606,0.848,0.299,16,0,3
2,6,2,0.0,0.238,0.0,33,3,10
15,3,1,0.741,0.351,0.574,8,0,3
1,4,4,0.202,0.333,0.157,0,3,7
21,0,2,0.069,0.176,0.329,13,2,7
3,6,2,0.217,0.0,0.0,29,3,10
2,1,2,0.113,0.007,0.0,25,1,9
12,0,0,0.871,0.502,0.676,26,3,2
19,6,2,0.613,0.133,0.431,26,1,5
15,1,1,0.755,0.253,0.472,19,1,4
0,0,2,0.102,0.283,0.001,36,3,10
9,2,1,0.757,0.363,0.424,9,3,4
3,2,2,0.069,0.29,0.052,25,3,9
19,3,4,0.572,0.029,0.656,12,3,4
0,4,0,0.352,0.922,0.424,11,1,5
11,6,0,1.0,0.856,0.261,18,3,2
0,5,2,0.086,0.077,0.0,33,0,10
7,0,2,0.648,0.244,0.346,38,1,6
4,3,2,0.0,0.315,0.0,24,3,10
5,0,4,0.0,0.0,0.0,0,2,7
15,3,0,0.834,0.85,0.609,7,3,1
0,5,2,0.086,0.077,0.0,33,0,10
8,5,2,0.513,0.0,0.247,20,1,6
11,1,0,0.935,0.731,0.638,6,1,1
21,0,1,0.409,0.517,0.755,16,2,4
7,1,0,0.834,0.923,0.825,20,2,2
20,0,3,0.674,0.361,0.931,6,2,4
4,6,2,0.033,0.0,0.0,23,3,9
12,2,4,0.447,0.266,0.264,0,3,3
2,2,4,0.085,0.035,0.017,0,2,8
5,4,2,0.173,0.047,0.0,22,0,7
6,0,4,0.433,0.091,0.136,0,0,5
11,5,0,0.826,0.697,0.526,10,0,2
4,6,2,0.033,0.0,0.0,23,3,9
14,3,2,0.662,0.084,0.058,38,0,6
17,5,0,0.951,0.811,0.984,11,1,1
11,5,1,0.733,0.396,0.609,13,0,3
2,5,2,0.25,0.32,0.0,29,3,10
14,2,1,0.903,0.263,0.548,0,3,3
22,6,2,0.114,0.21,0.145,41,3,10
4,0,2,0.285,0.14,0.0,27,3,9
11,5,1,0.918,0.356,0.698,5,1,2
21,4,2,0.094,0.217,0.323,22,2,7
2,6,2,0.0,0.238,0.0,33,3,10
3,5,2,0.168,0.0,0.0,12,3,10
10,1,1,0.956,0.367,0.477,20,0,2
3,0,1,0.397,0.409,0.164,8,3,6
8,6,2,0.563,0.281,0.346,21,0,6
6,4,2,0.656,0.0,0.197,26,1,7
1,4,1,0.327,0.442,0.311,0,3,5
13,0,0,0.841,0.706,0.8,0,0,1
7,4,4,0.318,0.085,0.437,8,2,5
17,4,2,0.761,0.186,0.288,10,2,5
9,1,4,0.341,0.156,0.349,2,3,4
5,4,0,0.396,0.836,0.339,5,0,4
7,5,0,1.0,0.679,0.663,21,2,2
3,6,2,0.217,0.0,0.0,29,3,10
9,4,2,0.683,0.082,0.263,30,0,6
15,6,2,0.503,0.118,0.269,25,2,5
18,1,1,0.918,0.273,0.559,3,3,3
3,6,1,0.34,0.431,0.08,18,3,7
22,2,2,0.032,0.0,0.272,19,2,7
7,5,2,0.601,0.034,0.283,31,2,6
1,6,2,0.039,0.111,0.0,34,0,10
23,6,4,0.0,0.168,0.328,0,3,7
18,6,1,0.581,0.151,0.763,12,2,4
9,5,2,0.588,0.079,0.405,28,3,6
21,5,4,0.12,0.293,0.306,0,3,5
18,5,2,0.674,0.0,0.489,20,1,6
0,6,2,0.164,0.061,0.0,18,3,10
7,3,2,0.573,0.23,0.442,19,0,6
18,6,0,0.914,0.726,0.76,9,1,2
18,1,2,0.611,0.0,0.674,22,0,5
17,3,0,1.0,0.794,0.82,15,3,1
22,1,4,0.038,0.157,0.166,4,3,7
22,5,0,0.457,0.968,0.431,26,1,5
17,6,2,0.573,0.338,0.411,28,3,6
9,3,2,0.75,0.064,0.438,19,0,6
7,4,2,0.549,0.145,0.49,27,1,6
19,5,3,0.575,0.11,1.0,21,1,4
10,6,0,0.811,1.0,0.708,13,2,1
14,2,1,0.858,0.659,0.49,10,1,2
3,0,4,0.0,0.181,0.147,16,1,8
1,0,2,0.065,0.118,0.0,42,2,9
2,4,2,0.036,0.142,0.0,32,0,9
5,3,1,0.422,0.489,0.283,0,0,3
5,6,1,0.156,0.44,0.206,9,3,5
14,6,1,0.829,0.19,0.542,7,0,3
22,6,2,0.129,0.196,0.139,19,3,9
5,6,4,0.0,0.202,0.0,0,2,7
17,3,0,0.898,0.772,0.794,6,2,1
3,6,2,0.217,0.0,0.0,29,3,10
10,4,0,0.835,0.876,0.702,8,3,1
23,6,2,0.0,0.248,0.287,30,1,8
9,2,0,1.0,0.654,0.693,1,0,2
11,0,1,0.731,0.161,0.586,13,3,4
2,2,2,0.0,0.275,0.0,33,2,9
7,1,1,0.783,0.38,0.688,2,2,3
22,6,1,0.224,0.0,0.372,9,0,6
1,6,4,0.0,0.147,0.0,0,0,8
16,0,1,0.702,0.444,0.412,15,1,2
1,6,1,0.317,0.0,0.08,8,0,8
15,1,3,0.594,0.585,0.941,7,3,3
6,1,4,0.464,0.0,0.337,4,1,4
7,1,4,0.627,0.091,0.425,0,3,4
3,6,0,0.444,0.46,0.277,20,3,5
7,5,4,0.637,0.094,0.485,6,0,4
10,1,4,0.385,0.306,0.38,4,3,3
